timestamp_ms,trial_num,task,frame,event_type,choice,rt_ms
1779217750477,,,,session_start,,
1779217762128,0,practice,attention_check,fixation_onset,,
1779217764478,0,practice,attention_check,stimulus_onset,,
1779217769497,0,practice,attention_check,prompt_onset,,
1779217770001,0,practice,attention_check,response_onset,,
1779217833238,0,practice,attention_check,response,allow,63238
1779217833240,0,practice,attention_check,attention_check,allow,63238
1779217836297,0,practice,attention_check,fixation_onset,,
1779217838355,0,practice,attention_check,stimulus_onset,,
1779217843361,0,practice,attention_check,prompt_onset,,
1779217843872,0,practice,attention_check,response_onset,,
1779217844528,0,practice,attention_check,response,deny,653
1779217844531,0,practice,attention_check,attention_check,deny,653
1779217844543,1,photos,loss,fixation_onset,,
1779217846051,1,photos,loss,stimulus_onset,,
1779217851056,1,photos,loss,prompt_onset,,
1779217851573,1,photos,loss,response_onset,,
1779217852144,1,photos,loss,response,deny,575
1779217854149,2,location,gain,fixation_onset,,
1779217856147,2,location,gain,stimulus_onset,,
